,word,freq
1592,firm,1
1593,give,1
1594,horrible,1
1595,local,1
1596,lock,1
1597,low,1
1598,plenty,1
1599,sensed,1
1600,terms,1
1601,thankfully,1
1602,professional,1
1603,helpful,1
1604,loan,2
1605,thanks,1
1606,took,1
1607,really,1
1608,closed,1
1609,email,2
1610,extremely,1
1611,got,1
1612,weeks,1
1613,another,1
1614,lender,1
1615,one,1
1616,phone,1
1617,told,1
1618,first,1
1619,also,1
1620,best,2
1621,didnt,1
1622,ever,1
1623,want,1
1624,end,1
1625,rate,3
1626,send,1
1627,week,1
1628,lenders,2
1629,please,1
1630,plus,1
1631,friendly,1
1632,seemed,1
1633,nasb,1
1634,two,1
1635,fees,2
1636,five,1
1637,current,1
1638,competitive,1
1639,lending_tree,1
1640,ready,1
1641,going,1
1642,banks,1
1643,spoke,1
1644,late,1
1645,sent,1
1646,already,1
1647,initial,1
1648,rep,2
1649,respond,1
1650,read,1
1651,etc,1
1652,lock,1
1653,boat,1
1654,bunch,1
1655,calls,1
1656,continued,1
1657,contract,1
1658,deaf,1
1659,directly,1
1660,ears,1
1661,emails,2
1662,exact,1
1663,fact,1
1664,fall,1
1665,february,1
1666,following,1
1667,guess,1
1668,january,1
1669,let_know,1
1670,locked,1
1671,missed,1
1672,near,1
1673,parameters,1
1674,pretty,1
1675,proceed,1
1676,rates,1
1677,receive,1
1678,replied,1
1679,round,2
1680,saying,2
1681,select,2
1682,selected,1
1683,signed,1
1684,someone_else,1
1685,talked,1
1686,though,1
1687,thought,1
1688,tomorrow,1
1689,loan,1
1690,working,1
1691,conversation,1
1692,told,1
1693,year,1
1694,rate,1
1695,send,1
1696,good_faith_estimate,2
1697,nasb,1
1698,called,1
1699,cost,2
1700,came,1
1701,asked,1
1702,give,1
1703,exp,1
1704,fixed,1
1705,loan_consultant,1
1706,mentioned,1
1707,total_closing,2
1708,person,1
1709,process,1
1710,beyond,1
1711,needed,1
1712,went,1
1713,happy,1
1714,educate,1
1715,way,1
1716,wonderful,1
1717,business,1
1718,well,1
1719,make,1
1720,future,1
1721,options,1
1722,could,1
1723,every,1
1724,decisions,1
1725,good,1
1726,woman,1
1727,achieve,1
1728,connect,1
1729,considerate,1
1730,definitely,1
1731,goals,1
1732,helping,2
1733,helped,1
1734,helpful,1
1735,found,1
1736,needed,1
1737,help,1
1738,time,1
1739,took,1
1740,wonderful,1
1741,situation,1
1742,people,1
1743,staff,1
1744,feel,1
1745,well,1
1746,made,1
1747,work,1
1748,never,1
1749,entire_process,1
1750,special,1
1751,understood,1
1752,read,1
1753,achieve,1
1754,goals,1
1755,always_available,1
1756,answer,1
1757,connolly,1
1758,lady,1
1759,management,1
1760,mary,2
1761,nervous,1
1762,nothing,1
1763,uncomfortable,1
1764,upper,1
1765,process,1
1766,refinance,1
1767,excellent,1
1768,past,1
1769,thanks,2
1770,happy,1
1771,help,1
1772,less,1
1773,customer_service,1
1774,way,1
1775,working,1
1776,patrick,1
1777,situation,1
1778,get,1
1779,step,1
1780,work,1
1781,especially,1
1782,issues,1
1783,throughout,1
1784,credit,1
1785,difficult,1
1786,financial,1
